39,Target,38,2934.00 ,7.20,345000,Brian C. Cornell,Retailing,General Merchandisers,Minneapolis,MN,44.977753,-93.2650108
40,Lowes,40,3447.00 ,11.40,255000,Robert A. Niblock,Retailing,Specialty Retailers: Other,Mooresville,NC,35.5848596,-80.8100724
41,Marathon Petroleum,51,3432.00 ,192.30,43800,Gary R. Heminger,Energy,Petroleum Refining,Findlay,OH,41.04422,-83.6499321
42,Procter & Gamble,36,15326.00 ,45.90,95000,David S. Taylor,Household Products,Household and Personal Products,Cincinnati,OH,39.1031182,-84.5120196
43,MetLife,42,4010.00 ,401.30,49000,Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)",New York,NY,40.7127753,-74.0059728
44,UPS,46,4910.00 ,43.10,346415,David P. Abney,Transportation,"Mail, Package, and Freight Delivery",Atlanta,GA,33.7489954,-84.3879824
45,PepsiCo,44,4857.00 ,-23.30,263000,Indra K. Nooyi,"Food, Beverages &  Tobacco",Food Consumer Products,Harrison,NY,41.0400135,-73.7144477
46,Intel,47,9601.00 ,-6.90,102700,Robert H. Swan,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,37.3541079,-121.9552356
47,DowDuPont,62,1460.00 ,-66.20,98000,Edward D. Breen,Chemicals,Chemicals,Midland,Michigan,43.623574,-84.232105
48,Archer Daniels Midland,45,1595.00 ,24.70,31300,Juan R. Luciano,"Food, Beverages &  Tobacco",Food Production,Chicago,IL,41.8781136,-87.6297982
49,Aetna,43,1904.00 ,-16.20,47950,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,Hartford,CT,41.7658043,-72.6733723
50,FedEx,58,2997.00 ,64.70,357000,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery",Memphis,TN,35.1495343,-90.0489801
51,United Technologies,50,4552.00 ,-10.00,204700,Gregory J. Hayes,Aerospace &  Defense,Aerospace and Defense,Farmington,CT,41.7360305,-72.795027
52,Prudential Financial,48,7863.00 ,80.00,49705,John R. Strangfeld,Financials,"Insurance: Life, Health (stock)",Newark,NJ,40.735657,-74.1723667
53,Albertsons Cos.,49,373.30,-,273000,Robert G. Miller,Food &  Drug Stores,Food and Drug Stores,Boise,ID,43.6150186,-116.2023137
54,Sysco,57,1142.50 ,20.30,66500,Thomas L. Ben�,Wholesalers,Wholesalers: Food and Grocery,Houston,TX,29.7604267,-95.3698028
55,Disney,52,8980.00 ,-4.40,199000,Robert A. Iger,Media,Entertainment,Burbank,CA,34.1808392,-118.3089661
56,Humana,53,2448.00 ,298.70,45900,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,Louisville,KY,38.2526647,-85.7584557
57,Pfizer,54,21308.00 ,195.30,90200,Ian C. Read,Health Care,Pharmaceuticals,New York,NY,40.7127753,-74.0059728
58,HP,61,2526.00 ,1.20,49000,Dion J. Weisler,Technology,"Computers, Office Equipment",Palo Alto,CA,37.4418834,-122.1430195
59,Lockheed Martin,56,2002.00 ,-62.20,100000,Marillyn A. Hewson,Aerospace &  Defense,Aerospace and Defense,Bethesda,MD,38.984652,-77.0947092
60,AIG,55,6084.00,-,49800,Brian Duperreault,Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
61,Centene,66,828.00 ,47.30,33700,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,St. Louis,MO,38.6270025,-90.1994042
62,Cisco Systems,60,9609.00 ,-10.50,72900,Charles H. Robbins,Technology,Network and Other Communications Equipment,San Jose,CA,37.3382082,-121.8863286
63,HCA Healthcare,63,2216.00 ,-23.30,221491,R. Milton Johnson,Health Care,Health Care: Medical Facilities,Nashville,TN,36.1626638,-86.7816016
64,Energy Transfer Equity,79,954.00 ,-4.10,29486,John W. McReynolds,Energy,Pipelines,Dallas,TX,32.7766642,-96.7969879
65,Caterpillar,74,754.00 ,-,98400,D. James Umpleby III,Industrials,Construction and Farm Machinery,Deerfield,IL,42.1711365,-87.8445119
66,Nationwide,68,246.50 ,-26.20,33135,Stephen S. Rasmussen,Financials,Insurance: Property and Casualty (Mutual),Columbus,OH,39.9611755,-82.9987942
67,Morgan Stanley,76,6111.00 ,2.20,57633,James P. Gorman,Financials,Commercial Banks,New York,NY,40.7127753,-74.0059728
68,Liberty Mutual Insurance Group,75,17.00 ,-98.30,50000,David H. Long,Financials,Insurance: Property and Casualty (Stock),Boston,MA,42.3600825,-71.0588801
